Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"verifyResponseStatusCode(response1, 200, CONTINUE_ON_FAILURE)",,,,2022-02-15 18:02:32,2022-02-15 18:02:32,0.001s,PASSED
"idBoardVar = getElementPropertyValue(response1, ""id"", CONTINUE_ON_FAILURE)",,,,2022-02-15 18:02:32,2022-02-15 18:02:32,0.016s,PASSED
board_response = response1.getResponseText(),,,,2022-02-15 18:02:32,2022-02-15 18:02:32,0.000s,PASSED
"println(""
	"" + board_response + ""
	"")",,,,2022-02-15 18:02:32,2022-02-15 18:02:32,0.000s,PASSED
"containsString(response1, boardNameVar, false, CONTINUE_ON_FAILURE)",,,,2022-02-15 18:02:32,2022-02-15 18:02:32,0.000s,PASSED
"response4 = sendRequest(findTestObject(""Trello/Webhook/Create a webhook"", [""idBoard"":idBoardVar]))",,,,2022-02-15 18:02:32,2022-02-15 18:02:34,1.632s,PASSED
"verifyResponseStatusCode(response4, 200, CONTINUE_ON_FAILURE)",,,,2022-02-15 18:02:34,2022-02-15 18:02:34,0.000s,PASSED
"idWebhookVar = getElementPropertyValue(response4, ""id"", CONTINUE_ON_FAILURE)",,,,2022-02-15 18:02:34,2022-02-15 18:02:34,0.031s,PASSED
"response2 = sendRequest(findTestObject(""Trello/List/Create a new list"", [""urlList"":url_List, ""nameofList"":nameofListVar, ""idBoard"":idBoardVar]))",,,,2022-02-15 18:02:34,2022-02-15 18:02:35,0.718s,PASSED
"verifyResponseStatusCode(response2, 200, CONTINUE_ON_FAILURE)",,,,2022-02-15 18:02:35,2022-02-15 18:02:35,0.000s,PASSED
"containsString(response2, nameofListVar, false, CONTINUE_ON_FAILURE)",,,,2022-02-15 18:02:35,2022-02-15 18:02:35,0.015s,PASSED
"listIdVar = getElementPropertyValue(response2, ""id"", CONTINUE_ON_FAILURE)",,,,2022-02-15 18:02:35,2022-02-15 18:02:35,0.016s,PASSED
"response3 = sendRequest(findTestObject(""Trello/Create card"", [""urlCard"":url_Card, ""listId"":listIdVar, ""cardName"":cardNameVar]))",,,,2022-02-15 18:02:35,2022-02-15 18:02:35,0.785s,PASSED
